"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试 TokenUsage 与 Book 的关系","6","test_token_usage_book_relationship","tests.unit","2026-09-22","passed","2026-09-22","TestTokenUsageModel","test_token_usage","",""
"不同文本产生不同哈希","1","test_translation_cache_different_texts_different_hashes","tests.integration","2026-09-22","passed","2026-09-22","TestTranslationCache","test_translation_cache","",""
"测试 record_token_usage 写入数据库","4","test_record_token_usage","tests.unit","2026-09-22","passed","2026-09-22","TestDatabaseManagerTokenMethods","test_token_usage","",""
"NCX 转义 HTML 特殊字符","0","test_ncx_escapes_html_special_chars","tests.unit","2026-09-22","passed","2026-09-22","TestBuildTocNcx","test_pdf_generator","",""
"提取三级标题","0","test_extracts_h3","tests.unit","2026-09-22","passed","2026-09-22","TestExtractTocFromMarkdown","test_pdf_generator","",""
"screenshot_quality 应透传到 container.screenshot 的 type/quality","8","test_screenshot_passes_jpeg_quality","tests.unit","2026-09-22","passed","2026-09-22","","test_image_generator_clarity","",""
"通过 Pipeline 测试摘要阶段失败时状态变化","9","test_summary_stage_failure_via_pipeline","tests.integration","2026-09-22","passed","2026-09-22","TestErrorPropagation","test_error_propagation","",""
"验证按 book_id 查询 TokenUsage","0","test_get_token_usage_by_book_id","tests.integration","2026-09-22","passed","2026-09-22","TestTokenTracking","test_token_tracking","",""
"测试 TokenUsage 默认值","3","test_token_usage_defaults","tests.unit","2026-09-22","passed","2026-09-22","TestTokenUsageModel","test_token_usage","",""
"测试阶段出错时设置 context 状态","1","test_stage_error_sets_context_status","tests.unit","2026-09-22","passed","2026-09-22","TestPipelineErrorHandling","test_pipeline","",""
"转换一级标题","0","test_converts_h1","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"场景4：重复运行不报错 — 第二次无文件可移动","5","test_repeat_run_no_error","tests.integration","2026-09-22","passed","2026-09-22","TestFileMoving","test_file_moving","",""
"60-74 分为合格","0","test_grade_pass","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"_design_analysis should return a string (may be empty if AI unavailable)","1475","test_design_analysis_returns_string","tests.unit","2026-09-22","passed","2026-09-22","TestDesignAnalysis","test_image_generator","",""
"","0","test_xianyu_prompt_contains_summary_placeholder","tests.unit","2026-09-22","passed","2026-09-22","","test_xianyu_prompt_config","",""
"测试流水线按顺序执行所有阶段","3","test_pipeline_runs_all_stages","tests.unit","2026-09-22","passed","2026-09-22","TestPipelineRun","test_pipeline","",""
"所有术语翻译正确","0","test_terminology_all_correct","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"EPUB 包含样式文件","4","test_epub_contains_styles","tests.unit","2026-09-22","passed","2026-09-22","TestCreateMiniEpub","test_pdf_generator","",""
"测试无记录时返回 None","7","test_get_token_summary_no_records","tests.unit","2026-09-22","passed","2026-09-22","TestDatabaseManagerTokenMethods","test_token_usage","",""
"device_scale_factor 应透传到 browser.new_page","9","test_screenshot_passes_device_scale_factor","tests.unit","2026-09-22","passed","2026-09-22","","test_image_generator_clarity","",""
"应记录小红书文案的 token 使用","4","test_generate_records_xiaohongshu_token_usage","tests.unit","2026-09-22","passed","2026-09-22","TestAICopywriterTokenRecording","test_ai_copywriter_tokens","",""
"验证更新已有缓存","0","test_translation_cache_updates_existing","tests.integration","2026-09-22","passed","2026-09-22","TestTranslationCache","test_translation_cache","",""
"应解包 generate_xianyu_listing 的 tuple 并传 text 给 write_copywriting","6","test_generate_unpacks_xianyu_tuple","tests.unit","2026-09-22","passed","2026-09-22","TestAICopywriterTokenRecording","test_ai_copywriter_tokens","",""
"验证 Unicode 文本处理","0","test_translation_cache_unicode_handling","tests.integration","2026-09-22","passed","2026-09-22","TestTranslationCache","test_translation_cache","",""
"summary_text 为 None 时应跳过，不调用 AI","1","test_generate_no_summary_skips","tests.unit","2026-09-22","passed","2026-09-22","","test_image_generator_unit","",""
"验证读取后删除临时文件","3","test_cleanup_after_read","tests.unit","2026-09-22","passed","2026-09-22","TestTempStatsBridge","test_temp_stats_bridge","",""
"转换无序列表","0","test_converts_unordered_list","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"构建包含标题的 HTML","0","test_builds_html_with_title","tests.unit","2026-09-22","passed","2026-09-22","TestBuildPlaywrightHtml","test_pdf_generator","",""
"","1","test_summary_stage_skips_when_flag_set","tests.unit","2026-09-22","passed","2026-09-22","TestStageShouldSkip","test_pipeline","",""
"Should return empty string if design_prompt is not configured","1342","test_design_analysis_empty_on_missing_config","tests.unit","2026-09-22","passed","2026-09-22","TestDesignAnalysis","test_image_generator","",""
"存在英制度量衡","1","test_cultural_measurement_units","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"从 body_html 中提取副标题","0","test_builds_html_extracts_subtitle_from_body","tests.unit","2026-09-22","passed","2026-09-22","TestBuildWeasyprintHtml","test_pdf_generator","",""
"忽略非标题行","0","test_ignores_non_heading_lines","tests.unit","2026-09-22","passed","2026-09-22","TestExtractTocFromMarkdown","test_pdf_generator","",""
"移除粗体标记","1","test_removes_bold_markers","tests.unit","2026-09-22","passed","2026-09-22","TestParseMarkdownLines","test_pdf_generator","",""
"目录链接指向不存在的页码","4","test_pdf_toc_checker_broken_links","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"提取多个 TOC 项","0","test_extracts_multiple_toc_items","tests.unit","2026-09-22","passed","2026-09-22","TestExtractTocFromMarkdown","test_pdf_generator","",""
"段落结构完整保留","0","test_format_paragraphs_preserved","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"同时处理多个文件","8","test_multiple_files","tests.unit","2026-09-22","passed","2026-09-22","TestFilenameNormalization","test_directory_scanner","",""
"","1","test_xianyu_prompt_no_search","tests.unit","2026-09-22","passed","2026-09-22","","test_xianyu_prompt_config","",""
"部分段落缺失翻译","0","test_fidelity_partial_missing","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"generate 应在 chat 成功后调用 record_token_usage","3","test_generate_records_token_usage","tests.unit","2026-09-22","passed","2026-09-22","TestSummaryAIGeneratorTokenRecording","test_content_summarizer_tokens","",""
"验证 Token 费用计算","3","test_record_token_usage_calculates_cost","tests.integration","2026-09-22","passed","2026-09-22","TestTokenTracking","test_token_tracking","",""
"带封面路径的 PDF 生成","3","test_create_with_cover_path","tests.unit","2026-09-22","passed","2026-09-22","TestCreateMethod","test_pdf_generator","",""
"","1","test_copywriting_stage_skips_when_flag_set","tests.unit","2026-09-22","passed","2026-09-22","TestStageShouldSkip","test_pipeline","",""
"装饰器形式工作正常","0","test_decorator_form","tests.unit","2026-09-22","passed","2026-09-22","","test_progress","",""
"Returns HTML unchanged when no placeholder exists","1","test_no_placeholder_unchanged","tests.unit","2026-09-22","passed","2026-09-22","TestCoverImageInjection","test_image_generator","",""
"backfill 重复运行返回 0（幂等）","15","test_backfill_is_idempotent","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"","0","test_create_context","tests.unit","2026-09-22","passed","2026-09-22","TestPipelineContext","test_pipeline","",""
"处理空行","0","test_handles_empty_lines","tests.unit","2026-09-22","passed","2026-09-22","TestParseMarkdownLines","test_pdf_generator","",""
"构建包含标题的 NCX","0","test_builds_ncx_with_title","tests.unit","2026-09-22","passed","2026-09-22","TestBuildTocNcx","test_pdf_generator","",""
"60 分以下为需改进","0","test_grade_needs_improvement","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"空列表","1","test_format_empty_lists","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"保留普通文本","0","test_preserves_plain_text","tests.unit","2026-09-22","passed","2026-09-22","TestParseMarkdownLines","test_pdf_generator","",""
"验证多个阶段分别记录","18","test_multiple_stages_recorded_separately","tests.integration","2026-09-22","passed","2026-09-22","TestTokenTracking","test_token_tracking","",""
"验证缓存存储和检索","80","test_translation_cache_stores_and_retrieves","tests.integration","2026-09-22","passed","2026-09-22","TestTranslationCache","test_translation_cache","",""
"忽略表格分隔行","1","test_ignores_table_separators","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"无封面路径时返回空字符串","0","test_returns_empty_when_no_cover_path","tests.unit","2026-09-22","passed","2026-09-22","TestBuildCoverHtml","test_pdf_generator","",""
"验证空文本不影响 stats","0","test_empty_text_does_not_change_stats","tests.unit","2026-09-22","passed","2026-09-22","TestTranslatorStats","test_translator_stats","",""
"get_books_by_publish_status('failed') 只返回 publish_status='failed' 的书","7","test_get_books_by_publish_status_returns_only_failed","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"提取二级标题","0","test_extracts_h2","tests.unit","2026-09-22","passed","2026-09-22","TestExtractTocFromMarkdown","test_pdf_generator","",""
"嵌套 phase 缩进正确","1","test_phase_nested_indentation","tests.unit","2026-09-22","passed","2026-09-22","","test_progress","",""
"含 --，取前面部分","5","test_double_dash","tests.unit","2026-09-22","passed","2026-09-22","TestFilenameNormalization","test_directory_scanner","",""
"空字符串返回空段落","1","test_empty_string_returns_empty_paragraph","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"构建包含标题的 HTML","1","test_builds_html_with_title","tests.unit","2026-09-22","passed","2026-09-22","TestBuildWeasyprintHtml","test_pdf_generator","",""
"验证 record_token_usage 创建记录","11","test_record_token_usage_creates_record","tests.integration","2026-09-22","passed","2026-09-22","TestTokenTracking","test_token_tracking","",""
"同一英文术语出现不一致翻译","1","test_consistency_inconsistent","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"空文本","0","test_cultural_empty_text","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"验证 translate() 方法分别跟踪 prompt_tokens, completion_tokens, total_tokens","1","test_translate_tracks_token_breakdown","tests.unit","2026-09-22","passed","2026-09-22","TestTranslatorStats","test_translator_stats","",""
"验证 TokenUsage 有时间戳","20","test_token_usage_timestamps","tests.integration","2026-09-22","passed","2026-09-22","TestTokenTracking","test_token_tracking","",""
"","5","test_build_pipeline_returns_pipeline","tests.unit","2026-09-22","passed","2026-09-22","TestBuildPipeline","test_pipeline","",""
"封面文件存在时返回 base64 编码的 HTML","1","test_returns_cover_html_with_base64","tests.unit","2026-09-22","passed","2026-09-22","TestBuildCoverHtml","test_pdf_generator","",""
"","1","test_image_stages_skip_when_images_flag_set","tests.unit","2026-09-22","passed","2026-09-22","TestStageShouldSkip","test_pipeline","",""
"backfill-publish-status 命令回填并打印数量","4","test_backfill_publish_status_command_runs","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"mock AI生成返回摘要字典，验证 summary_text 被保存到DB","25","test_summary_saved_when_generate_succeeds","tests.integration","2026-09-22","passed","2026-09-22","TestSummarySave","test_summary_save","",""
"验证 image_generator 配置存在","1","test_image_generator_config_exists","tests.unit","2026-09-22","passed","2026-09-22","","test_main_image_config","",""
"Playwright HTML 与 WeasyPrint HTML 样式不同","0","test_html_has_different_styles_from_weasyprint","tests.unit","2026-09-22","passed","2026-09-22","TestBuildPlaywrightHtml","test_pdf_generator","",""
"验证第二次翻译命中缓存","5","test_translation_cache_second_run_hits_cache","tests.integration","2026-09-22","passed","2026-09-22","TestTranslationCache","test_translation_cache","",""
"测试费用计算是否正确 (DeepSeek 定价: ¥1/百万输入, ¥2/百万输出)","5","test_cost_calculation","tests.unit","2026-09-22","passed","2026-09-22","TestDatabaseManagerTokenMethods","test_token_usage","",""
